ID,BIC,p,q,P,Q,log_likelihood,n_params,aic
103,876.8266330968738,2,1,1,0,-424.7431661955991,5,859.4863323911982
83,876.9199321219637,1,4,0,1,-419.3663421572299,7,852.7326843144598
58,877.1294869119637,1,1,1,0,-427.62020210863886,4,863.2404042172777
59,877.2388176720037,1,1,1,1,-424.94925848316404,5,859.8985169663281
74,877.2486160384165,1,3,0,1,-422.24555147677574,6,856.4911029535515
101,877.5114294484586,2,1,0,1,-425.08556437139146,5,860.1711287427829
148,877.588910804873,3,1,1,0,-422.4029599873596,6,856.8059199747192
110,877.7283598928045,2,2,0,1,-422.4726845313254,6,856.9453690626508
68,878.3521516676774,1,2,1,1,-422.78458041876183,6,857.5691608375237
185,878.8186270858233,4,0,1,1,-420.3007642434071,7,854.6015284868142
22,879.0619858946524,0,2,1,0,-428.57806584346315,4,865.1561316869263
77,879.1912556825665,1,3,1,1,-420.4870785417787,7,854.9741570835574
86,879.3765639569723,1,4,1,1,-417.8669975170553,8,851.7339950341106
137,879.8715902400279,3,0,0,1,-426.25511843583524,5,862.5102368716705
193,880.3423158317495,4,1,1,0,-421.0626086163702,7,856.1252172327404
104,880.4668317585163,2,1,1,1,-423.82923545585277,6,859.6584709117055
218,880.5522844879388,4,4,0,1,-412.9995366671809,10,845.9990733343618
113,880.6724188143437,2,2,1,1,-421.21279808958224,7,856.4255961791645
112,880.7288010462689,2,2,1,0,-423.96022009972904,6,859.9204401994581
146,881.0359395214416,3,1,0,1,-424.11378933731544,6,860.2275786746309
149,881.2665970295399,3,1,1,1,-421.5098871971803,7,857.0197743943606
67,881.5154373481773,1,2,1,0,-427.07704198990996,5,864.1540839798199
119,882.0795091401756,2,3,0,1,-421.93120527058323,7,857.8624105411665
128,882.1593472319405,2,4,0,1,-419.25838915453943,8,854.5167783090789
94,882.3809867451507,2,0,1,0,-430.2543730903051,4,868.5087461806102
157,882.5942183017311,3,2,1,0,-422.1736978332759,7,858.3473956665518
155,883.4299513593631,3,2,0,1,-422.59156436209196,7,859.1831287241839
194,883.549678259033,4,1,1,1,-419.9364970729399,8,855.8729941458798
220,883.6591923189234,4,4,1,0,-414.5316685887409,10,849.0633371774818
31,883.757123849762,0,3,1,0,-428.18740304505224,5,866.3748060901045
122,883.9888385350432,2,3,1,1,-420.156077210945,8,856.31215442189
182,884.6224146775622,4,0,0,1,-425.8943953177667,6,863.7887906355334
131,884.7004504597195,2,4,1,1,-417.80128021075006,9,853.6025604215001
40,884.8672790840493,0,4,1,0,-426.00424888623013,6,864.0084977724603
164,884.8892001383776,3,3,0,1,-420.6062580126122,8,857.2125160252244
76,885.1893006636008,1,3,1,0,-426.17783831078594,6,864.3556766215719
202,885.828936933752,4,2,1,0,-421.07612641029937,8,858.1522528205987
95,885.8680332127998,2,0,1,1,-429.26386625356207,5,868.5277325071241
158,886.1873980802346,3,2,1,1,-421.2383718200149,8,858.4767436400298
191,886.5009855058546,4,1,0,1,-424.11228225895434,7,862.2245645179087
121,886.6087590235244,2,3,1,0,-424.16616901778923,7,862.3323380355785
92,886.9169948890427,2,0,0,1,-432.5139560971784,4,873.0279121943568
166,887.1374804766125,3,3,1,0,-421.7134130182038,8,859.4268260364076
85,887.4916732813581,1,4,1,0,-424.5928892828289,7,863.1857785656578
167,887.9235542358197,3,3,1,1,-419.3936423042611,9,856.7872846085222
3,888.2596428143122,0,0,0,2,-435.99901890824765,3,877.9980378164953
7,889.0488003383466,0,0,2,0,-436.3869751429512,3,878.7739502859024
203,889.1557222953593,4,2,1,1,-420.0097263340309,9,858.0194526680618
6,889.2544555073413,0,0,1,2,-433.78615775512606,4,875.5723155102521
200,889.2616349757926,4,2,0,1,-422.7754902677939,8,861.5509805355878
130,889.5675788187239,2,4,1,0,-422.9115488448214,8,861.8230976896429
176,890.1213819191958,3,4,1,1,-417.7840853828094,10,855.5681707656188
221,890.7341889818829,4,4,1,1,-415.3628283564741,11,852.7256567129482
211,890.7830849519905,4,3,1,0,-420.82340766234654,9,859.6468153246931
209,891.8673912691918,4,3,0,1,-421.36556082094717,9,860.7311216418943
175,892.3577402413646,3,4,1,0,-421.59162699806706,9,861.1832539961341
8,892.512301581649,0,0,2,1,-435.4062507558617,4,878.8125015117234
212,893.8914340516885,4,3,1,1,-419.6477894551235,10,859.295578910247
9,894.6488154487984,0,0,2,2,-433.77307022621846,5,877.5461404524369
49,898.3100920946757,1,0,1,0,-440.9466400368307,3,887.8932800736613
47,899.925506019499,1,0,0,1,-441.75434699924233,3,889.5086939984847
50,901.2111215446924,1,0,1,1,-439.66101942500325,4,887.3220388500065
37,902.1454221911063,0,4,0,0,-437.3093822557222,5,884.6187645114444
19,903.4122212319611,0,2,0,0,-443.4359674967331,3,892.8719349934662
28,904.0694517163142,0,3,0,0,-441.01594918490116,4,890.0318983698023
82,907.494171876119,1,4,0,0,-437.2310913302624,6,886.4621826605248
109,908.2353929208266,2,2,0,0,-440.33412459500084,5,890.6682491900017
73,908.4940507108224,1,3,0,0,-440.4735545138413,5,890.9471090276826
64,908.9218909720386,1,2,0,0,-443.43408799368933,4,894.8681759873787
181,909.6648079928623,4,0,0,0,-441.0589331548612,5,892.1178663097224
136,910.020088668997,3,0,0,0,-443.98318684216855,4,895.9663736843371
145,910.1839298992458,3,1,0,0,-441.3083930842104,5,892.6167861684208
190,912.6316454580368,4,1,0,0,-439.7876577191345,6,891.575315438269
127,912.7423416275502,2,4,0,0,-437.10251043801185,7,888.2050208760237
118,913.8250790241469,2,3,0,0,-440.38437450218953,6,892.7687490043791
55,913.962043700173,1,1,0,0,-448.7048425053894,3,903.4096850107788
100,914.0681639227804,2,1,0,0,-445.9991761684608,4,899.9983523369216
154,914.1567146250958,3,2,0,0,-440.53807107405294,6,893.0761421481059
10,914.3918136715697,0,1,0,0,-451.67845393932015,2,907.3569078786403
163,915.1330090646509,3,3,0,0,-438.28364535412754,7,890.5672907082551
172,917.5963388604689,3,4,0,0,-436.776843286505,8,889.55368657301
199,918.005070379492,4,2,0,0,-439.71967601154813,7,893.4393520230963
2,920.9480014945761,0,0,0,1,-455.0017300736166,2,914.0034601472332
217,920.9997716409092,4,4,0,0,-435.72589390875896,9,889.4517878175179
208,922.0679450015721,4,3,0,0,-438.9964191542741,8,893.9928383085482
4,923.0859213042438,0,0,1,0,-456.0664971001904,2,916.1329942003808
5,924.4508460391795,0,0,1,1,-454.01701700908256,3,914.0340340181651
91,925.9300790955243,2,0,0,0,-454.6888602030651,3,915.3777204061302
46,941.0659601343899,1,0,0,0,-465.0115191493327,2,934.0230382986654
1,958.7800158305322,0,0,0,0,-476.629277456335,1,955.25855491267
