Date,Original,Fitted,Residuals
2006-12-01,11.225806451612904,,-0.20574094598694614
2007-01-01,12.133333333333333,,0.8886978745977636
2007-02-01,11.275862068965518,,-0.4641924196756424
2007-03-01,12.53125,,1.5358653406226068
2007-04-01,13.666666666666666,,1.1239393058996985
2007-05-01,13.733333333333333,,1.3662218079721828
2007-06-01,13.870967741935484,,0.7876196746570585
2007-07-01,16.129032258064516,,1.9107934023867674
2007-08-01,14.862068965517242,,-0.7083825784036222
2007-09-01,15.1875,,0.5715664071612672
2007-10-01,15.233333333333333,,0.32902162826355585
2007-11-01,15.03125,,-0.06603274974415108
2007-12-01,15.366666666666667,,0.01600611147568287
2008-01-01,15.533333333333333,,0.06152917340268971
2008-02-01,16.757575757575758,,1.4245459126822233
2008-03-01,13.857142857142858,,-2.0827777606586313
2008-04-01,13.6,,-2.1465921690061407
